Sr. No.,Remitter Bank,Total Volume,Approved%,BD%,TD%,Year,Month,Remitter Bank Clean,Bank_Type,TD_Percent,BD_Percent,Approved_Percent
10,Canara Bank,70374,0.919,0.017,0.064,2023,june,canara bank,Public Sector,6.4,1.7000000000000002,91.9
11,IDBI Bank Limited,55421,0.9456,0.0033,0.0511,2023,june,idbi bank limited,Public Sector,5.11,0.33,94.56
12,Central Bank Of India,53736,0.903,0.0559,0.0411,2023,june,central bank of india,Public Sector,4.109999999999999,5.59,90.3
13,Indian Bank,33373,0.8558,0.0308,0.1134,2023,june,indian bank,Public Sector,11.34,3.08,85.58
14,INDUSIND BANK,29261,0.9278,0.0048,0.0674,2023,june,indusind bank,Private Sector,6.74,0.48,92.78
15,IDFC FIRST Bank,28054,0.9202,0.0035,0.0763,2023,june,idfc first bank,Private Sector,7.630000000000001,0.35000000000000003,92.02
16,Yes Bank Ltd,26391,0.8931,0.0025,0.1043999999999999,2023,june,yes bank ltd,Other/Cooperative,10.439999999999989,0.25,89.31
17,UCO Bank,22985,0.8094,0.0496999999999999,0.1409,2023,june,uco bank,Public Sector,14.09,4.96999999999999,80.94
18,Bank of Maharashtra,19797,0.9226,0.0044,0.073,2023,june,bank of maharashtra,Public Sector,7.3,0.44,92.25999999999999
19,The Mehsana Urban Co-Operative Bank Ltd.,16931,0.9323,0.0027,0.065,2023,june,the mehsana urban co-operative bank ltd.,Other/Cooperative,6.5,0.27,93.23
20,Indian Overseas Bank,15759,0.8874,0.0011,0.1115,2023,june,indian overseas bank,Public Sector,11.15,0.11,88.74
21,Citibank,13194,0.9566,0.0012,0.0421999999999999,2023,june,citibank,Other/Cooperative,4.21999999999999,0.12,95.66
22,Federal Bank,12755,0.8776,0.001,0.1214,2023,june,federal bank,Private Sector,12.139999999999999,0.1,87.76
23,AU Small Finance bank,12615,0.9281,0.0036,0.0683,2023,june,au small finance bank,Other/Cooperative,6.83,0.36,92.81
24,Rajkot Nagrik Sahakari Bank Ltd.,11196,0.9241,0.0108,0.0651,2023,june,rajkot nagrik sahakari bank ltd.,Other/Cooperative,6.510000000000001,1.08,92.41
25,Standard Chartered,9114,0.951,0.0049,0.0441,2023,june,standard chartered,Private Sector,4.41,0.49,95.1
26,Bandhan Bank,9070,0.8848999999999999,0.0529,0.0622,2023,june,bandhan bank,Private Sector,6.22,5.29,88.49
27,Saraswat Bank,9033,0.9045,0.0072,0.0883,2023,june,saraswat bank,Other/Cooperative,8.83,0.72,90.45
28,Karur Vysya Bank,8408,0.2130999999999999,0.1089,0.6779999999999999,2023,june,karur vysya bank,Private Sector,67.8,10.89,21.30999999999999
29,Karnataka Bank,7881,0.8743000000000001,0.0438999999999999,0.0818,2023,june,karnataka bank,Private Sector,8.18,4.38999999999999,87.43
30,Kalupur Commercial Cooperative Bank,5715,0.88,0.0408,0.0792,2023,june,kalupur commercial cooperative bank,Other/Cooperative,7.920000000000001,4.08,88.0
31,South Indian Bank,4984,0.9187,0.0012,0.0801,2023,june,south indian bank,Private Sector,8.01,0.12,91.86999999999999
32,DBS BANK LTD,4957,0.9449,0.0,0.0550999999999999,2023,june,dbs bank ltd,Other/Cooperative,5.50999999999999,0.0,94.49
33,Punjab and Sind Bank,4091,0.8025,0.1128999999999999,0.0846,2023,june,punjab and sind bank,Public Sector,8.459999999999999,11.28999999999999,80.25
34,Equitas Bank,3665,0.9231,0.0087,0.0682,2023,june,equitas bank,Other/Cooperative,6.819999999999999,0.8699999999999999,92.31
35,RBL,3558,0.9047,0.0048,0.0905,2023,june,rbl,Private Sector,9.049999999999999,0.48,90.47
36,Tamilnad Mercantile Bank,2942,0.9106,0.001,0.0884,2023,june,tamilnad mercantile bank,Other/Cooperative,8.84,0.1,91.06
37,HSBC,2679,0.9373,0.0325,0.0302,2023,june,hsbc,Other/Cooperative,3.02,3.25,93.73
38,DCB Bank Ltd,2375,0.8829,0.0017,0.1153999999999999,2023,june,dcb bank ltd,Other/Cooperative,11.53999999999999,0.16999999999999998,88.29
39,City Union Bank,2330,0.9086,0.0064,0.085,2023,june,city union bank,Private Sector,8.5,0.64,90.86
40,Svc co-operative bank ltd,2230,0.9354,0.0054,0.0592,2023,june,svc co-operative bank ltd,Other/Cooperative,5.92,0.54,93.54
41,Surat People Cooperative Bank,2021,0.909,0.004,0.087,2023,june,surat people cooperative bank,Other/Cooperative,8.7,0.4,90.9
42,THE AHMEDABAD MERCANTILE CO OP BANK LTD,1761,0.8359000000000001,0.1317,0.0324,2023,june,the ahmedabad mercantile co op bank ltd,Other/Cooperative,3.2399999999999998,13.170000000000002,83.59
43,TJSB,1687,0.8975,0.0095,0.093,2023,june,tjsb,Other/Cooperative,9.3,0.95,89.75
44,Jammu and Kashmir Bank,1685,0.5821999999999999,0.2498999999999999,0.1679,2023,june,jammu and kashmir bank,Other/Cooperative,16.79,24.98999999999999,58.21999999999999
45,Janata Sahakari Bank Ltd. Pune,635,0.9528,0.0016,0.0455999999999999,2023,june,janata sahakari bank ltd. pune,Other/Cooperative,4.55999999999999,0.16,95.28
46,Dhanlaxmi Bank Ltd,424,0.8395999999999999,0.0024,0.158,2023,june,dhanlaxmi bank ltd,Other/Cooperative,15.8,0.24,83.96
47,Catholic Syrian Bank,373,0.8338,0.0643,0.1018999999999999,2023,june,catholic syrian bank,Other/Cooperative,10.189999999999989,6.43,83.38
48,GP PARSIK BANK,281,0.9359,0.0036,0.0605,2023,june,gp parsik bank,Other/Cooperative,6.05,0.36,93.58999999999999
1,State Bank Of India,677064,0.9393,0.0076,0.0530999999999999,2023,october,state bank of india,Public Sector,5.30999999999999,0.76,93.93
2,HDFC BANK LTD,389570,0.957,0.0052,0.0377,2023,october,hdfc bank ltd,Other/Cooperative,3.7699999999999996,0.52,95.7
3,Bank of Baroda,265043,0.942,0.0064,0.0515,2023,october,bank of baroda,Public Sector,5.1499999999999995,0.64,94.19999999999999
4,ICICI Bank,240238,0.9731,0.0045,0.0224,2023,october,icici bank,Private Sector,2.2399999999999998,0.44999999999999996,97.31
5,Axis Bank Ltd.,167008,0.9595,0.0066,0.0338,2023,october,axis bank ltd.,Other/Cooperative,3.38,0.66,95.95
6,Punjab National Bank,122635,0.9327,0.0109,0.0564,2023,october,punjab national bank,Public Sector,5.64,1.09,93.27
7,Bank of India,107872,0.9584,0.0068,0.0348,2023,october,bank of india,Public Sector,3.4799999999999995,0.6799999999999999,95.84
8,Kotak Mahindra Bank,106794,0.9562,0.008,0.0358,2023,october,kotak mahindra bank,Private Sector,3.58,0.8,95.62
9,Union Bank of India,102938,0.9358,0.009,0.0552,2023,october,union bank of india,Public Sector,5.52,0.8999999999999999,93.58
10,Central Bank Of India,63226,0.4585,0.0068,0.5347,2023,october,central bank of india,Public Sector,53.47,0.6799999999999999,45.85
11,Canara Bank,56774,0.9359,0.0094,0.0546,2023,october,canara bank,Public Sector,5.46,0.9400000000000001,93.58999999999999
12,IDBI Bank Limited,42170,0.9514,0.0067,0.0419,2023,october,idbi bank limited,Public Sector,4.19,0.67,95.14
13,Indian Bank,27355,0.9265,0.0123,0.0612,2023,october,indian bank,Public Sector,6.12,1.23,92.65
14,IDFC FIRST Bank,24046,0.9412,0.0055,0.0533,2023,october,idfc first bank,Private Sector,5.33,0.5499999999999999,94.12
15,INDUSIND BANK,23342,0.9427,0.0089,0.0484,2023,october,indusind bank,Private Sector,4.84,0.89,94.27
16,Yes Bank Ltd,23261,0.924,0.0071,0.0689,2023,october,yes bank ltd,Other/Cooperative,6.890000000000001,0.7100000000000001,92.4
17,UCO Bank,20997,0.9186,0.0089,0.0725,2023,october,uco bank,Public Sector,7.249999999999999,0.89,91.86
18,The Mehsana Urban Co-Operative Bank Ltd.,17580,0.9526,0.0018,0.0455999999999999,2023,october,the mehsana urban co-operative bank ltd.,Other/Cooperative,4.55999999999999,0.18,95.26
19,Bank of Maharashtra,13500,0.906,0.0087,0.0853,2023,october,bank of maharashtra,Public Sector,8.53,0.8699999999999999,90.60000000000001
20,AU Small Finance bank,13470,0.9305,0.0231,0.0464,2023,october,au small finance bank,Other/Cooperative,4.64,2.31,93.05
21,Indian Overseas Bank,12681,0.9115,0.0111,0.0774,2023,october,indian overseas bank,Public Sector,7.739999999999999,1.11,91.14999999999999
22,Rajkot Nagrik Sahakari Bank Ltd.,12336,0.9603,0.0024,0.0373,2023,october,rajkot nagrik sahakari bank ltd.,Other/Cooperative,3.73,0.24,96.03
23,Federal Bank,10485,0.918,0.0163999999999999,0.0656,2023,october,federal bank,Private Sector,6.5600000000000005,1.6399999999999901,91.8
24,Bandhan Bank,8824,0.5808,0.0088,0.4104,2023,october,bandhan bank,Private Sector,41.04,0.88,58.08
25,Citibank,7314,0.9639,0.0044,0.0317,2023,october,citibank,Other/Cooperative,3.17,0.44,96.39
26,Karnataka Bank,6013,0.911,0.0075,0.0815,2023,october,karnataka bank,Private Sector,8.15,0.75,91.10000000000001
27,Saraswat Bank,5921,0.9382,0.0047,0.0571,2023,october,saraswat bank,Other/Cooperative,5.71,0.47000000000000003,93.82000000000001
28,Standard Chartered,5489,0.9581,0.0089,0.033,2023,october,standard chartered,Private Sector,3.3000000000000003,0.89,95.81
29,Kalupur Commercial Cooperative Bank,5277,0.9572,0.0066,0.0362,2023,october,kalupur commercial cooperative bank,Other/Cooperative,3.62,0.66,95.72
30,Equitas Bank,3832,0.9577,0.006,0.0363,2023,october,equitas bank,Other/Cooperative,3.63,0.6,95.77
31,DBS BANK LTD,3329,0.9676,0.0087,0.0237,2023,october,dbs bank ltd,Other/Cooperative,2.37,0.8699999999999999,96.76
32,Punjab and Sind Bank,3315,0.8968,0.0121,0.0911,2023,october,punjab and sind bank,Public Sector,9.11,1.21,89.68
33,Karur Vysya Bank,3244,0.7568,0.008,0.2352,2023,october,karur vysya bank,Private Sector,23.52,0.8,75.68
34,South Indian Bank,3223,0.9361,0.0056,0.0583,2023,october,south indian bank,Private Sector,5.83,0.5599999999999999,93.61
35,RBL,2996,0.8912,0.006,0.1027999999999999,2023,october,rbl,Private Sector,10.27999999999999,0.6,89.12
36,Tamilnad Mercantile Bank,2762,0.9178,0.0076,0.0746,2023,october,tamilnad mercantile bank,Other/Cooperative,7.46,0.76,91.78
37,Surat People Cooperative Bank,2513,0.5444,0.006,0.4497,2023,october,surat people cooperative bank,Other/Cooperative,44.97,0.6,54.44
38,DCB Bank Ltd,2348,0.902,0.0085,0.0894,2023,october,dcb bank ltd,Other/Cooperative,8.94,0.8500000000000001,90.2
39,HSBC,1970,0.7934,0.0061,0.2005,2023,october,hsbc,Other/Cooperative,20.05,0.61,79.34
40,City Union Bank,1829,0.9382,0.0066,0.0552,2023,october,city union bank,Private Sector,5.52,0.66,93.82000000000001
41,Jammu and Kashmir Bank,1612,0.0,0.0223,0.9777,2023,october,jammu and kashmir bank,Other/Cooperative,97.77,2.23,0.0
42,Svc co-operative bank ltd,1447,0.9572,0.0041,0.0387,2023,october,svc co-operative bank ltd,Other/Cooperative,3.8699999999999997,0.41000000000000003,95.72
43,THE AHMEDABAD MERCANTILE CO OP BANK LTD,1364,0.9062,0.0066,0.0872,2023,october,the ahmedabad mercantile co op bank ltd,Other/Cooperative,8.72,0.66,90.62
44,TJSB,995,0.9397,0.001,0.0593,2023,october,tjsb,Other/Cooperative,5.93,0.1,93.97
45,Utkarsh Small Finance Bank,594,0.8973,0.0034,0.0993,2023,october,utkarsh small finance bank,Other/Cooperative,9.93,0.33999999999999997,89.73
46,Janata Sahakari Bank Ltd. Pune,376,0.9415,0.0,0.0584999999999999,2023,october,janata sahakari bank ltd. pune,Other/Cooperative,5.84999999999999,0.0,94.15
47,Dhanlaxmi Bank Ltd,350,0.8829,0.0029,0.1143,2023,october,dhanlaxmi bank ltd,Other/Cooperative,11.43,0.29,88.29
48,Catholic Syrian Bank,260,0.7923,0.0038,0.2037999999999999,2023,october,catholic syrian bank,Other/Cooperative,20.37999999999999,0.38,79.23
49,GP PARSIK BANK,250,0.96,0.008,0.032,2023,october,gp parsik bank,Other/Cooperative,3.2,0.8,96.0
50,Deutsche Bank,75,0.8267,0.0,0.1732999999999999,2023,october,deutsche bank,Other/Cooperative,17.32999999999999,0.0,82.67
1,State Bank Of India,1620323,0.9361,0.0099,0.0541,2023,september,state bank of india,Public Sector,5.41,0.9900000000000001,93.61
2,HDFC BANK LTD,968115,0.9551,0.0077,0.0372,2023,september,hdfc bank ltd,Other/Cooperative,3.7199999999999998,0.77,95.50999999999999
3,ICICI Bank,629788,0.9647,0.0059,0.0294,2023,september,icici bank,Private Sector,2.94,0.59,96.47
4,Bank of Baroda,608908,0.9326,0.0088,0.0587,2023,september,bank of baroda,Public Sector,5.87,0.88,93.26
5,Axis Bank Ltd.,407083,0.9535,0.0103,0.0362,2023,september,axis bank ltd.,Other/Cooperative,3.62,1.03,95.35
6,Punjab National Bank,294131,0.9254,0.0138,0.0608,2023,september,punjab national bank,Public Sector,6.08,1.38,92.54
7,Kotak Mahindra Bank,264205,0.952,0.0092,0.0388,2023,september,kotak mahindra bank,Private Sector,3.88,0.9199999999999999,95.19999999999999
8,Bank of India,250481,0.9527,0.0092,0.0381,2023,september,bank of india,Public Sector,3.81,0.9199999999999999,95.27
9,Union Bank of India,237217,0.9438,0.0111,0.0451,2023,september,union bank of india,Public Sector,4.51,1.11,94.38
10,Canara Bank,135033,0.9358,0.0115,0.0527,2023,september,canara bank,Public Sector,5.27,1.15,93.58
11,IDBI Bank Limited,107482,0.9493,0.0089,0.0418,2023,september,idbi bank limited,Public Sector,4.18,0.89,94.93
12,Central Bank Of India,109446,0.8578,0.01,0.1323,2023,september,central bank of india,Public Sector,13.23,1.0,85.78
13,Indian Bank,65071,0.9055,0.0135,0.0809,2023,september,indian bank,Public Sector,8.09,1.35,90.55
14,IDFC FIRST Bank,58238,0.9319,0.0083,0.0598,2023,september,idfc first bank,Private Sector,5.9799999999999995,0.83,93.19
15,INDUSIND BANK,55929,0.928,0.0108,0.0612,2023,september,indusind bank,Private Sector,6.12,1.08,92.80000000000001
16,Yes Bank Ltd,55758,0.8979,0.0099,0.0923,2023,september,yes bank ltd,Other/Cooperative,9.229999999999999,0.9900000000000001,89.79
17,UCO Bank,48380,0.8905,0.0123,0.0973,2023,september,uco bank,Public Sector,9.73,1.23,89.05
18,The Mehsana Urban Co-Operative Bank Ltd.,39508,0.9224,0.006,0.0716,2023,september,the mehsana urban co-operative bank ltd.,Other/Cooperative,7.16,0.6,92.24
19,Bank of Maharashtra,33950,0.877,0.0087,0.1143,2023,september,bank of maharashtra,Public Sector,11.43,0.8699999999999999,87.7
20,AU Small Finance bank,30668,0.9435,0.009,0.0475,2023,september,au small finance bank,Other/Cooperative,4.75,0.8999999999999999,94.35
21,Indian Overseas Bank,31572,0.8525,0.0113,0.1362,2023,september,indian overseas bank,Public Sector,13.62,1.13,85.25
22,Rajkot Nagrik Sahakari Bank Ltd.,24855,0.9423,0.0047,0.0529,2023,september,rajkot nagrik sahakari bank ltd.,Other/Cooperative,5.29,0.47000000000000003,94.23
23,Federal Bank,25182,0.909,0.0163,0.0747,2023,september,federal bank,Private Sector,7.470000000000001,1.63,90.9
24,Citibank,21021,0.9051,0.0063,0.0886,2023,september,citibank,Other/Cooperative,8.86,0.63,90.51
25,Bandhan Bank,18630,0.9337,0.0112,0.0550999999999999,2023,september,bandhan bank,Private Sector,5.50999999999999,1.1199999999999999,93.37
26,Standard Chartered,15560,0.9379,0.0093,0.0528,2023,september,standard chartered,Private Sector,5.28,0.9299999999999999,93.78999999999999
27,Saraswat Bank,14913,0.9366,0.0056,0.0576999999999999,2023,september,saraswat bank,Other/Cooperative,5.76999999999999,0.5599999999999999,93.66
28,Karnataka Bank,14510,0.8948999999999999,0.0129,0.0922,2023,september,karnataka bank,Private Sector,9.22,1.29,89.49
29,Kalupur Commercial Cooperative Bank,12036,0.9425,0.0101,0.0474,2023,september,kalupur commercial cooperative bank,Other/Cooperative,4.74,1.01,94.25
30,DBS BANK LTD,8343,0.963,0.011,0.026,2023,september,dbs bank ltd,Other/Cooperative,2.6,1.0999999999999999,96.3
31,South Indian Bank,8293,0.9216,0.0065,0.0719,2023,september,south indian bank,Private Sector,7.19,0.65,92.16
32,Equitas Bank,8192,0.9255,0.0107,0.0637,2023,september,equitas bank,Other/Cooperative,6.370000000000001,1.0699999999999998,92.55
33,Punjab and Sind Bank,8160,0.9178,0.0169,0.0653,2023,september,punjab and sind bank,Public Sector,6.529999999999999,1.69,91.78
34,RBL,7319,0.8848,0.009,0.1061999999999999,2023,september,rbl,Private Sector,10.61999999999999,0.8999999999999999,88.48
35,Karur Vysya Bank,7883,0.7432,0.0101,0.2466,2023,september,karur vysya bank,Private Sector,24.66,1.01,74.32
36,Tamilnad Mercantile Bank,5788,0.9205,0.0066,0.0729,2023,september,tamilnad mercantile bank,Other/Cooperative,7.290000000000001,0.66,92.05
37,DCB Bank Ltd,5324,0.9258,0.0103,0.0639,2023,september,dcb bank ltd,Other/Cooperative,6.39,1.03,92.58
38,HSBC,4504,0.9198,0.0107,0.0695,2023,september,hsbc,Other/Cooperative,6.950000000000001,1.0699999999999998,91.97999999999999
39,City Union Bank,4371,0.9266,0.0092,0.0643,2023,september,city union bank,Private Sector,6.43,0.9199999999999999,92.66
40,Surat People Cooperative Bank,3932,0.8922,0.0116999999999999,0.0961,2023,september,surat people cooperative bank,Other/Cooperative,9.610000000000001,1.16999999999999,89.22
41,Svc co-operative bank ltd,3427,0.9562,0.005,0.0388,2023,september,svc co-operative bank ltd,Other/Cooperative,3.88,0.5,95.62
42,THE AHMEDABAD MERCANTILE CO OP BANK LTD,3016,0.9181,0.0149,0.067,2023,september,the ahmedabad mercantile co op bank ltd,Other/Cooperative,6.7,1.49,91.81
43,TJSB,2647,0.9124,0.0072,0.0805,2023,september,tjsb,Other/Cooperative,8.05,0.72,91.24
44,Utkarsh Small Finance Bank,1275,0.8886,0.011,0.1003999999999999,2023,september,utkarsh small finance bank,Other/Cooperative,10.03999999999999,1.0999999999999999,88.86
45,Jammu and Kashmir Bank,4813,0.1997,0.0127,0.7877,2023,september,jammu and kashmir bank,Other/Cooperative,78.77,1.27,19.97
46,Janata Sahakari Bank Ltd. Pune,901,0.9223,0.0044,0.0733,2023,september,janata sahakari bank ltd. pune,Other/Cooperative,7.33,0.44,92.23
47,Dhanlaxmi Bank Ltd,875,0.9211,0.0046,0.0743,2023,september,dhanlaxmi bank ltd,Other/Cooperative,7.430000000000001,0.45999999999999996,92.11
48,GP PARSIK BANK,688,0.9404,0.0203,0.0392,2023,september,gp parsik bank,Other/Cooperative,3.92,2.03,94.04
49,Catholic Syrian Bank,971,0.5819,0.0051,0.413,2023,september,catholic syrian bank,Other/Cooperative,41.3,0.51,58.19
50,Deutsche Bank,169,0.8462000000000001,0.0,0.1538,2023,september,deutsche bank,Other/Cooperative,15.379999999999999,0.0,84.62
1,State Bank Of India,65929,0.8862000000000001,0.105,0.0088,2023,january,state bank of india,Public Sector,0.88,10.5,88.62
2,HDFC BANK LTD,43235,0.9295,0.0688,0.0017,2023,january,hdfc bank ltd,Other/Cooperative,0.16999999999999998,6.88,92.95
3,ICICI Bank,27979,0.9477,0.0518,0.0005,2023,january,icici bank,Private Sector,0.05,5.18,94.77
4,Bank of Baroda,30614,0.5695,0.0598,0.3707,2023,january,bank of baroda,Public Sector,37.07,5.9799999999999995,56.95
5,Axis Bank Ltd.,17011,0.9227,0.077,0.0003,2023,january,axis bank ltd.,Other/Cooperative,0.03,7.7,92.27
6,Bank of India,10542,0.9283,0.0703,0.0014,2023,january,bank of india,Public Sector,0.13999999999999999,7.03,92.83
7,Kotak Mahindra Bank,10014,0.9212,0.0745,0.0043,2023,january,kotak mahindra bank,Private Sector,0.43,7.449999999999999,92.12
8,Union Bank of India,9473,0.8945000000000001,0.0894,0.0161,2023,january,union bank of india,Public Sector,1.6099999999999999,8.94,89.45
9,Punjab National Bank,10943,0.7509,0.1198,0.1293,2023,january,punjab national bank,Public Sector,12.93,11.98,75.09
10,Canara Bank,5282,0.905,0.0931,0.0019,2023,january,canara bank,Public Sector,0.19,9.31,90.5
11,IDBI Bank Limited,4297,0.9088,0.0726,0.0186,2023,january,idbi bank limited,Public Sector,1.8599999999999999,7.26,90.88000000000001
12,Central Bank Of India,5212,0.6406000000000001,0.0503,0.3091,2023,january,central bank of india,Public Sector,30.91,5.029999999999999,64.06
13,INDUSIND BANK,2891,0.9211,0.0775,0.0014,2023,january,indusind bank,Private Sector,0.13999999999999999,7.75,92.11
14,Yes Bank Ltd,2702,0.8768,0.1192,0.004,2023,january,yes bank ltd,Other/Cooperative,0.4,11.92,87.68
15,Indian Bank,2527,0.8540000000000001,0.133,0.013,2023,january,indian bank,Public Sector,1.3,13.3,85.4
16,IDFC FIRST Bank,2255,0.8922,0.0954,0.0124,2023,january,idfc first bank,Private Sector,1.24,9.54,89.22
17,UCO Bank,1728,0.8472,0.1146,0.0382,2023,january,uco bank,Public Sector,3.82,11.459999999999999,84.72
18,The Mehsana Urban Co-Operative Bank Ltd.,1329,0.9451,0.0527,0.0022,2023,january,the mehsana urban co-operative bank ltd.,Other/Cooperative,0.22,5.27,94.51
19,AU Small Finance bank,1338,0.9148,0.0807,0.0045,2023,january,au small finance bank,Other/Cooperative,0.44999999999999996,8.07,91.47999999999999
20,Bank of Maharashtra,1327,0.9043,0.0927,0.003,2023,january,bank of maharashtra,Public Sector,0.3,9.27,90.42999999999999
21,Citibank,1193,0.9288,0.0528,0.0184,2023,january,citibank,Other/Cooperative,1.8399999999999999,5.28,92.88
22,Rajkot Nagrik Sahakari Bank Ltd.,1139,0.9429,0.0518,0.0053,2023,january,rajkot nagrik sahakari bank ltd.,Other/Cooperative,0.53,5.18,94.28999999999999
23,Indian Overseas Bank,1373,0.7451000000000001,0.2512999999999999,0.0036,2023,january,indian overseas bank,Public Sector,0.36,25.129999999999992,74.51
24,Federal Bank,909,0.8195999999999999,0.1793,0.0011,2023,january,federal bank,Private Sector,0.11,17.93,81.96
25,Standard Chartered,747,0.921,0.0736,0.0054,2023,january,standard chartered,Private Sector,0.54,7.359999999999999,92.10000000000001
26,Equitas Bank,661,0.941,0.0575,0.0015,2023,january,equitas bank,Other/Cooperative,0.15,5.75,94.1
27,Bandhan Bank,815,0.7239,0.0847,0.1914,2023,january,bandhan bank,Private Sector,19.139999999999997,8.469999999999999,72.39
28,Karnataka Bank,543,0.8858,0.0682,0.046,2023,january,karnataka bank,Private Sector,4.6,6.819999999999999,88.58
29,Saraswat Bank,582,0.6923999999999999,0.3024,0.0052,2023,january,saraswat bank,Other/Cooperative,0.52,30.240000000000002,69.24
30,South Indian Bank,368,0.9076,0.0897,0.0027,2023,january,south indian bank,Private Sector,0.27,8.97,90.75999999999999
31,Kalupur Commercial Cooperative Bank,348,0.9569,0.0345,0.0086,2023,january,kalupur commercial cooperative bank,Other/Cooperative,0.86,3.45,95.69
32,DBS BANK LTD,390,0.8692,0.1308,0.0,2023,january,dbs bank ltd,Other/Cooperative,0.0,13.08,86.92
33,RBL,361,0.8532,0.144,0.0028,2023,january,rbl,Private Sector,0.27999999999999997,14.399999999999999,85.32
34,Karur Vysya Bank,345,0.8406,0.1391,0.0203,2023,january,karur vysya bank,Private Sector,2.03,13.91,84.06
35,Punjab and Sind Bank,279,0.8637999999999999,0.1326,0.0036,2023,january,punjab and sind bank,Public Sector,0.36,13.26,86.38
36,Tamilnad Mercantile Bank,223,0.9148,0.0628,0.0224,2023,january,tamilnad mercantile bank,Other/Cooperative,2.2399999999999998,6.279999999999999,91.47999999999999
37,DCB Bank Ltd,234,0.8718,0.1239,0.0043,2023,january,dcb bank ltd,Other/Cooperative,0.43,12.389999999999999,87.18
38,City Union Bank,193,0.9482,0.0311,0.0207,2023,january,city union bank,Private Sector,2.07,3.11,94.82000000000001
39,HSBC,222,0.6937000000000001,0.2432,0.0631,2023,january,hsbc,Other/Cooperative,6.3100000000000005,24.32,69.37
40,Svc co-operative bank ltd,153,0.9608,0.0392,0.0,2023,january,svc co-operative bank ltd,Other/Cooperative,0.0,3.92,96.08
41,THE AHMEDABAD MERCANTILE CO OP BANK LTD,101,0.9307,0.0495,0.0197999999999999,2023,january,the ahmedabad mercantile co op bank ltd,Other/Cooperative,1.9799999999999902,4.95,93.07
42,Surat People Cooperative Bank,110,0.8273,0.1636,0.0091,2023,january,surat people cooperative bank,Other/Cooperative,0.91,16.36,82.73
43,TJSB,92,0.8587,0.1304,0.0109,2023,january,tjsb,Other/Cooperative,1.09,13.04,85.87
44,Jammu and Kashmir Bank,103,0.7476,0.2232999999999999,0.0291,2023,january,jammu and kashmir bank,Other/Cooperative,2.91,22.329999999999988,74.76
45,Dhanlaxmi Bank Ltd,48,0.9167,0.0833,0.0,2023,january,dhanlaxmi bank ltd,Other/Cooperative,0.0,8.33,91.67
46,GP PARSIK BANK,28,0.8214,0.1785999999999999,0.0,2023,january,gp parsik bank,Other/Cooperative,0.0,17.85999999999999,82.14
47,Janata Sahakari Bank Ltd. Pune,23,0.8261,0.1304,0.0435,2023,january,janata sahakari bank ltd. pune,Other/Cooperative,4.35,13.04,82.61
48,Catholic Syrian Bank,25,0.76,0.24,0.0,2023,january,catholic syrian bank,Other/Cooperative,0.0,24.0,76.0
49,ESAF Small Finance Bank Ltd.,2,0.0,1.0,0.0,2023,january,esaf small finance bank ltd.,Other/Cooperative,0.0,100.0,0.0
1,State Bank Of India,1357713,0.9278,0.0682,0.004,2023,august,state bank of india,Public Sector,0.4,6.819999999999999,92.78
2,HDFC BANK LTD,781077,0.9518,0.0458999999999999,0.0023,2023,august,hdfc bank ltd,Other/Cooperative,0.22999999999999998,4.58999999999999,95.17999999999999
3,ICICI Bank,507057,0.9574,0.0301,0.0125,2023,august,icici bank,Private Sector,1.25,3.01,95.74000000000001
4,Bank of Baroda,505418,0.9241,0.0728,0.0031,2023,august,bank of baroda,Public Sector,0.31,7.28,92.41
5,Axis Bank Ltd.,318582,0.9498,0.0475,0.0027,2023,august,axis bank ltd.,Other/Cooperative,0.27,4.75,94.98
6,Punjab National Bank,247275,0.8972,0.0562999999999999,0.0464,2023,august,punjab national bank,Public Sector,4.64,5.62999999999999,89.72
7,Kotak Mahindra Bank,221524,0.9238,0.0749,0.0014,2023,august,kotak mahindra bank,Private Sector,0.13999999999999999,7.489999999999999,92.38
8,Bank of India,206084,0.9522,0.0455,0.0023,2023,august,bank of india,Public Sector,0.22999999999999998,4.55,95.22
9,Union Bank of India,193764,0.9433,0.0526,0.0041,2023,august,union bank of india,Public Sector,0.41000000000000003,5.26,94.33
10,Canara Bank,114998,0.9352,0.0562999999999999,0.0085,2023,august,canara bank,Public Sector,0.8500000000000001,5.62999999999999,93.52000000000001
11,Central Bank Of India,87068,0.917,0.04,0.0431,2023,august,central bank of india,Public Sector,4.31,4.0,91.7
12,IDBI Bank Limited,85957,0.946,0.0478,0.0062,2023,august,idbi bank limited,Public Sector,0.62,4.78,94.6
13,Indian Bank,54620,0.9117,0.083,0.0053,2023,august,indian bank,Public Sector,0.53,8.3,91.17
14,INDUSIND BANK,47728,0.9119,0.0544,0.0337,2023,august,indusind bank,Private Sector,3.37,5.4399999999999995,91.19
15,IDFC FIRST Bank,43728,0.9333,0.0629,0.0038,2023,august,idfc first bank,Private Sector,0.38,6.29,93.33
16,Yes Bank Ltd,41316,0.9093,0.0885,0.0022,2023,august,yes bank ltd,Other/Cooperative,0.22,8.85,90.93
17,UCO Bank,39658,0.8935,0.1045,0.002,2023,august,uco bank,Public Sector,0.2,10.45,89.35
18,Bank of Maharashtra,31493,0.9336,0.0613,0.0052,2023,august,bank of maharashtra,Public Sector,0.52,6.13,93.36
